Blade number,Wind speed (m/s), TSR,Turbine Speed, Cp
32,7.5,0.088251953,84.27421028,0.272272
32,7.5,0.083398337,79.63935924,0.251328
32,7.5,0.077867473,74.35778552,0.230384
32,7.5,0.07175611,68.52187739,0.20944
32,7.5,0.065160998,62.22402406,0.188496
32,7.5,0.058178886,55.55661383,0.167552
32,7.5,0.050906526,48.61203782,0.146608
32,7.5,0.043440665,41.48268239,0.125664
32,7.5,0.035878055,34.26093869,0.10472
32,7.5,0.028315445,27.039195,0.083776
32,7.5,0.020849584,19.90983957,0.062832
32,7.5,0.013577223,12.96526261,0.041888
32,7.5,0.006595112,6.297853323,0.020944
32,6.5,0.005350524,4.428113827,0.579987692
32,6.5,0.023359002,19.33199809,0.555821538
32,6.5,0.038692218,32.02182544,0.531655385
32,6.5,0.051498797,42.62059848,0.507489231
32,6.5,0.061927365,51.25132066,0.483323077
32,6.5,0.070126549,58.03699624,0.459156923
32,6.5,0.076244972,63.10062618,0.434990769
32,6.5,0.080431262,66.56521556,0.410824615
32,6.5,0.082834044,68.553767,0.386658462
32,6.5,0.083601943,69.1892831,0.362492308
32,6.5,0.082883586,68.59476814,0.338326154
32,6.5,0.080827597,66.8932239,0.31416
32,6.5,0.077582603,64.20765463,0.289993846
32,6.5,0.07329723,60.66106379,0.265827692
32,6.5,0.068120102,56.37645314,0.241661538
32,6.5,0.062199846,51.47682697,0.217495385
32,6.5,0.055685087,46.08518787,0.193329231
32,6.5,0.048724451,40.32453928,0.169163077
32,6.5,0.041466564,34.31788464,0.144996923
32,6.5,0.034060051,28.18822657,0.120830769
32,6.5,0.026653538,22.0585685,0.096664615
32,6.5,0.019395651,16.05191387,0.072498462
32,6.5,0.012435015,10.29126528,0.048332308
32,6.5,0.005920256,4.899626178,0.024166154
32,5.5,0.011039728,7.730901961,0.51408
32,5.5,0.046918843,32.85633263,0.48552
32,5.5,0.0752337,52.68466387,0.45696
32,5.5,0.096597617,67.64539006,0.4284
32,5.5,0.111623913,78.1680063,0.39984
32,5.5,0.120925906,84.682007,0.37128
32,5.5,0.125116914,87.61688655,0.34272
32,5.5,0.124810255,87.40213936,0.31416
32,5.5,0.120619247,84.4672598,0.2856
32,5.5,0.113157209,79.241743,0.25704
32,5.5,0.103037458,72.15508263,0.22848
32,5.5,0.090873314,63.63677451,0.19992
32,5.5,0.077278094,54.11631232,0.17136
32,5.5,0.062865116,44.02319048,0.1428
32,5.5,0.048247699,33.78690406,0.11424
32,5.5,0.03403916,23.83694678,0.08568
32,5.5,0.020852819,14.60281443,0.05712
32,5.5,0.009301993,6.5140007,0.02856
32,4.5,0.036953053,21.17249026,0.383973333
32,4.5,0.074652632,42.77270741,0.349066667
32,4.5,0.097421685,55.81838331,0.31416
32,4.5,0.10749979,61.59269862,0.279253333
32,4.5,0.107126527,61.37883518,0.244346667
32,4.5,0.098541474,56.45997364,0.20944
32,4.5,0.083984211,48.11929584,0.174533333
32,4.5,0.065694316,37.63998243,0.139626667
32,4.5,0.045911369,26.30521524,0.10472
32,4.5,0.026874948,15.39817494,0.069813333
32,4.5,0.010824632,6.202042781,0.034906667
40,8.5,0.011089058,12.00114502,0.53592
40,8.5,0.022070891,23.88624567,0.51744
40,8.5,0.031415528,33.99948918,0.49896
40,8.5,0.03924925,42.47754329,0.48048
40,8.5,0.045693018,49.45131818,0.462
40,8.5,0.050862476,55.0459697,0.44352
40,8.5,0.054867954,59.3809026,0.42504
40,8.5,0.057814461,62.56976299,0.40656
40,8.5,0.059801692,64.72044589,0.38808
40,8.5,0.060924024,65.93509091,0.3696
40,8.5,0.061270515,66.31008117,0.35112
40,8.5,0.06092491,65.93604978,0.33264
40,8.5,0.059965633,64.89787121,0.31416
40,8.5,0.058465795,63.27466991,0.29568
40,8.5,0.056493186,61.13981169,0.2772
40,8.5,0.054110281,58.56091017,0.25872
40,8.5,0.051374238,55.59982468,0.24024
40,8.5,0.048336899,52.31266126,0.22176
40,8.5,0.045044786,48.7497684,0.20328
40,8.5,0.041539107,44.95574351,0.1848
40,8.5,0.037855751,40.96942749,0.16632
40,8.5,0.034025292,36.82390909,0.14784
40,8.5,0.030072984,32.54651948,0.12936
40,8.5,0.026018767,28.15883874,0.11088
40,8.5,0.021877263,23.67669156,0.0924
40,8.5,0.017657776,19.11014719,0.07392
40,8.5,0.013364294,14.46352165,0.05544
40,8.5,0.008995487,9.735375541,0.03696
40,8.5,0.004544711,4.918518398,0.01848
40,7.5,0.009674981,9.238904698,0.62832
40,7.5,0.018798488,17.95119175,0.607376
40,7.5,0.026999647,25.7827034,0.586432
40,7.5,0.034307483,32.76115642,0.565488
40,7.5,0.04075102,38.91426662,0.544544
40,7.5,0.046359284,44.26975172,0.5236
40,7.5,0.0511613,48.8553285,0.502656
40,7.5,0.055186092,52.69871276,0.481712
40,7.5,0.058462686,55.82762223,0.460768
40,7.5,0.061020106,58.26977273,0.439824
40,7.5,0.062887377,60.05288102,0.41888
40,7.5,0.064093525,61.20466482,0.397936
40,7.5,0.064667574,61.75283995,0.376992
40,7.5,0.064638549,61.72512319,0.356048
40,7.5,0.064035475,61.14923128,0.335104
40,7.5,0.062887377,60.05288102,0.31416
40,7.5,0.06122328,58.46378915,0.293216
40,7.5,0.05907221,56.40967341,0.272272
40,7.5,0.05646319,53.91824866,0.251328
40,7.5,0.053425246,51.01723262,0.230384
40,7.5,0.049987402,47.7343411,0.20944
40,7.5,0.046178685,44.09729278,0.188496
40,7.5,0.042028118,40.13380252,0.167552
40,7.5,0.037564727,35.87158804,0.146608
40,7.5,0.032817536,31.33836516,0.125664
40,7.5,0.027815571,26.5618516,0.10472
40,7.5,0.022587856,21.56976318,0.083776
40,7.5,0.017163416,16.38981665,0.062832
40,7.5,0.011571277,11.04972976,0.041888
40,7.5,0.005840464,5.577219251,0.020944
40,6.5,0.004954189,4.100105488,0.483323077
40,6.5,0.020473187,16.94368672,0.459156923
40,6.5,0.0329949,27.30670359,0.434990769
40,6.5,0.042742268,35.37366208,0.410824615
40,6.5,0.049938227,41.32906487,0.386658462
40,6.5,0.054805718,45.35741877,0.362492308
40,6.5,0.057567679,47.6432281,0.338326154
40,6.5,0.058447047,48.37099637,0.31416
40,6.5,0.057666763,47.72523039,0.289993846
40,6.5,0.055449763,45.89043284,0.265827692
40,6.5,0.052018987,43.05110969,0.241661538
40,6.5,0.047597373,39.39176528,0.217495385
40,6.5,0.04240786,35.09690476,0.193329231
40,6.5,0.036673386,30.35103247,0.169163077
40,6.5,0.030616889,25.33865272,0.144996923
40,6.5,0.024461309,20.24427152,0.120830769
40,6.5,0.018429584,15.25239318,0.096664615
40,6.5,0.012744652,10.54752203,0.072498462
40,6.5,0.007629451,6.314162401,0.048332308
40,6.5,0.003306921,2.736820283,0.024166154
40,5.5,0.004599887,3.221209384,0.4284
40,5.5,0.033773389,23.65083263,0.39984
40,5.5,0.055014643,38.52566036,0.37128
40,5.5,0.069182294,48.44698459,0.34272
40,5.5,0.077134986,54.01609664,0.31416
40,5.5,0.079731367,55.83429062,0.2856
40,5.5,0.07783008,54.50285714,0.25704
40,5.5,0.072289772,50.62308964,0.22848
40,5.5,0.063969089,44.79628081,0.19992
40,5.5,0.053726675,37.62372199,0.17136
40,5.5,0.042421176,29.70670588,0.1428
